"product_id","category_id","depth","name_tr","name_en"
"4469","233","1","Uzaktan Kumandalı Zil","Door Bells"
"4470","226","0","Diğer Ürünler","Other Items"
"4470","233","1","Uzaktan Kumandalı Zil","Door Bells"
"4471","226","0","Diğer Ürünler","Other Items"
"4471","233","1","Uzaktan Kumandalı Zil","Door Bells"
"4472","226","0","Diğer Ürünler","Other Items"
"4472","233","1","Uzaktan Kumandalı Zil","Door Bells"
"4474","205","0","İç Aydınlatma","Indoor Lighting"
"4474","232","1","Dekoratif Sarkıt Armatürler ve Aplikler","Decorative Pendant Fixtures &amp; Appliques"
"4475","205","0","İç Aydınlatma","Indoor Lighting"
"4475","232","1","Dekoratif Sarkıt Armatürler ve Aplikler","Decorative Pendant Fixtures &amp; Appliques"
"4476","205","0","İç Aydınlatma","Indoor Lighting"
"4476","232","1","Dekoratif Sarkıt Armatürler ve Aplikler","Decorative Pendant Fixtures &amp; Appliques"
"4477","205","0","İç Aydınlatma","Indoor Lighting"
"4477","232","1","Dekoratif Sarkıt Armatürler ve Aplikler","Decorative Pendant Fixtures &amp; Appliques"
"4478","205","0","İç Aydınlatma","Indoor Lighting"
"4478","232","1","Dekoratif Sarkıt Armatürler ve Aplikler","Decorative Pendant Fixtures &amp; Appliques"
"4479","205","0","İç Aydınlatma","Indoor Lighting"
"4479","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4480","205","0","İç Aydınlatma","Indoor Lighting"
"4480","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4481","205","0","İç Aydınlatma","Indoor Lighting"
"4481","212","1","Sıva Üstü Panel Kasaları","Panel Bodies &amp; Accesories"
"4482","205","0","İç Aydınlatma","Indoor Lighting"
"4482","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4483","205","0","İç Aydınlatma","Indoor Lighting"
"4483","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4484","205","0","İç Aydınlatma","Indoor Lighting"
"4484","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4485","205","0","İç Aydınlatma","Indoor Lighting"
"4485","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4486","205","0","İç Aydınlatma","Indoor Lighting"
"4486","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4487","205","0","İç Aydınlatma","Indoor Lighting"
"4487","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4488","205","0","İç Aydınlatma","Indoor Lighting"
"4488","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4489","205","0","İç Aydınlatma","Indoor Lighting"
"4489","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4490","205","0","İç Aydınlatma","Indoor Lighting"
"4490","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4491","205","0","İç Aydınlatma","Indoor Lighting"
"4491","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4492","205","0","İç Aydınlatma","Indoor Lighting"
"4492","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4493","205","0","İç Aydınlatma","Indoor Lighting"
"4493","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4494","205","0","İç Aydınlatma","Indoor Lighting"
"4494","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4495","205","0","İç Aydınlatma","Indoor Lighting"
"4495","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4496","205","0","İç Aydınlatma","Indoor Lighting"
"4496","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4497","205","0","İç Aydınlatma","Indoor Lighting"
"4497","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4498","205","0","İç Aydınlatma","Indoor Lighting"
"4498","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4499","205","0","İç Aydınlatma","Indoor Lighting"
"4499","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4500","205","0","İç Aydınlatma","Indoor Lighting"
"4500","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4501","205","0","İç Aydınlatma","Indoor Lighting"
"4501","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4502","205","0","İç Aydınlatma","Indoor Lighting"
"4502","234","1","Modern Dekoratif Spot","Modern Decorative Spot Lights"
"4503","205","0","İç Aydınlatma","Indoor Lighting"
